* Sea-Bird SBE37 Data File:
* FileName = C:\Users\Marcos\Documents\Ekman2026\Seabird\Seabird5453.asc
* Software Version 1.59
* Temperature SN = 5453
* Conductivity SN = 5453
* System UpLoad Time = Mar 21 2026 13:35:40
** Station
** Latitude
** Longitude
** Date
** Depth
* ds
* SBE37-SM V 2.6b  SERIAL NO. 5453    21 Mar 2026  13:35:40
* not logging: received stop command
* sample interval = 1200 seconds
* samplenumber = 218, free = 190432
* do not transmit real-time data
* do not output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump not installed
* temperature = 6.49 deg C

* S>
* SBE37-SM V 2.6b  5453
* temperature:  07-feb-23
*     TA0 = -6.236630e-05
*     TA1 = 2.842975e-04
*     TA2 = -3.051295e-06
*     TA3 = 1.670518e-07
* conductivity:  07-feb-23
*     G = -9.901044e-01
*     H = 1.407857e-01
*     I = -1.723254e-04
*     J = 3.552151e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = 4.107427e-05
* pressure S/N 2438936, range = 870 psia:  26-jan-23
*     PA0 = 1.604391e-01
*     PA1 = 4.107326e-02
*     PA2 = 4.443856e-09
*     PTCA0 = 5.208358e+01
*     PTCA1 = 2.383811e-01
*     PTCA2 = -3.022513e-03
*     PTCSB0 = 2.554313e+01
*     PTCSB1 = -5.750000e-04
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  07-feb-23
*     RTCA0 = 9.999802e-01
*     RTCA1 = 1.690222e-06
*     RTCA2 = -3.328980e-08

* S> 
*END*
start time =  18 Mar 2026  13:00:01
sample interval = 1200 seconds
start sample number = 1
  0.2765,-0.00006,   -0.755, 18 Mar 2026, 13:00:01
 -0.1892, 0.00003,   -0.765, 18 Mar 2026, 13:20:01
 -1.7240, 2.71430,    8.847, 18 Mar 2026, 13:40:01
 -1.6650, 2.72717,    8.858, 18 Mar 2026, 14:00:01
 -1.6943, 2.72805,    8.858, 18 Mar 2026, 14:20:00
 -1.6213, 2.73819,    8.858, 18 Mar 2026, 14:40:00
 -1.6253, 2.73946,    8.847, 18 Mar 2026, 15:00:00
 -1.6224, 2.74072,    8.847, 18 Mar 2026, 15:20:00
 -1.6456, 2.73963,    8.847, 18 Mar 2026, 15:40:00
 -1.6425, 2.74024,    8.847, 18 Mar 2026, 16:00:00
 -1.6446, 2.73997,    8.847, 18 Mar 2026, 16:20:00
 -1.6613, 2.73911,    8.836, 18 Mar 2026, 16:40:00
 -1.6496, 2.73961,    8.847, 18 Mar 2026, 17:00:00
 -1.6565, 2.73883,    8.836, 18 Mar 2026, 17:20:00
 -1.6704, 2.73837,    8.836, 18 Mar 2026, 17:40:00
 -1.6824, 2.73812,    8.836, 18 Mar 2026, 18:00:00
 -1.7009, 2.73682,    8.836, 18 Mar 2026, 18:20:00
 -1.6658, 2.73774,    8.826, 18 Mar 2026, 18:40:00
 -1.6576, 2.73963,    8.826, 18 Mar 2026, 19:00:00
 -1.7168, 2.73574,    8.826, 18 Mar 2026, 19:20:00
 -1.6389, 2.74253,    8.826, 18 Mar 2026, 19:40:00
 -1.6135, 2.74316,    8.826, 18 Mar 2026, 20:00:00
 -1.5927, 2.74578,    8.826, 18 Mar 2026, 20:20:00
 -1.6015, 2.74346,    8.815, 18 Mar 2026, 20:40:00
 -1.6339, 2.74149,    8.815, 18 Mar 2026, 21:00:00
 -1.7217, 2.73687,    8.815, 18 Mar 2026, 21:20:00
 -1.7270, 2.73476,    8.815, 18 Mar 2026, 21:40:00
 -1.7357, 2.73402,    8.815, 18 Mar 2026, 22:00:00
 -1.7326, 2.73408,    8.815, 18 Mar 2026, 22:20:00
 -1.7389, 2.73350,    8.805, 18 Mar 2026, 22:40:00
 -1.7343, 2.73369,    8.805, 18 Mar 2026, 23:00:00
 -1.6996, 2.73459,    8.805, 18 Mar 2026, 23:20:00
 -1.7356, 2.73328,    8.805, 18 Mar 2026, 23:40:00
 -1.7342, 2.73463,    8.805, 19 Mar 2026, 00:00:00
 -1.7316, 2.73363,    8.805, 19 Mar 2026, 00:20:00
 -1.7210, 2.73485,    8.805, 19 Mar 2026, 00:40:01
 -1.7008, 2.73542,    8.805, 19 Mar 2026, 01:00:01
 -1.6820, 2.73870,    8.805, 19 Mar 2026, 01:20:01
 -1.7123, 2.73525,    8.805, 19 Mar 2026, 01:40:01
 -1.6431, 2.73937,    8.805, 19 Mar 2026, 02:00:01
 -1.6410, 2.73964,    8.805, 19 Mar 2026, 02:20:01
 -1.7120, 2.73584,    8.805, 19 Mar 2026, 02:40:00
 -1.6184, 2.74188,    8.805, 19 Mar 2026, 03:00:00
 -1.6236, 2.74215,    8.805, 19 Mar 2026, 03:20:00
 -1.6132, 2.74317,    8.805, 19 Mar 2026, 03:40:00
 -1.6119, 2.74324,    8.805, 19 Mar 2026, 04:00:00
 -1.6308, 2.74137,    8.805, 19 Mar 2026, 04:20:00
 -1.6205, 2.74213,    8.815, 19 Mar 2026, 04:40:00
 -1.6208, 2.74172,    8.805, 19 Mar 2026, 05:00:00
 -1.6151, 2.74261,    8.815, 19 Mar 2026, 05:20:00
 -1.6245, 2.74211,    8.815, 19 Mar 2026, 05:40:00
 -1.6612, 2.73879,    8.815, 19 Mar 2026, 06:00:00
 -1.6447, 2.74104,    8.815, 19 Mar 2026, 06:20:00
 -1.6196, 2.74239,    8.815, 19 Mar 2026, 06:40:00
 -1.6471, 2.74034,    8.815, 19 Mar 2026, 07:00:00
 -1.6257, 2.74253,    8.815, 19 Mar 2026, 07:20:00
 -1.6350, 2.73997,    8.815, 19 Mar 2026, 07:40:00
 -1.6405, 2.74134,    8.815, 19 Mar 2026, 08:00:00
 -1.6237, 2.73917,    8.815, 19 Mar 2026, 08:20:00
 -1.6249, 2.74040,    8.815, 19 Mar 2026, 08:40:00
 -1.6365, 2.73788,    8.815, 19 Mar 2026, 09:00:00
 -1.7382, 2.73368,    8.826, 19 Mar 2026, 09:20:00
 -1.7058, 2.73611,    8.826, 19 Mar 2026, 09:40:00
 -1.7137, 2.73553,    8.826, 19 Mar 2026, 10:00:00
 -1.7003, 2.73682,    8.826, 19 Mar 2026, 10:20:00
 -1.6750, 2.73875,    8.826, 19 Mar 2026, 10:40:00
 -1.6804, 2.73897,    8.826, 19 Mar 2026, 11:00:00
 -1.6797, 2.73884,    8.826, 19 Mar 2026, 11:20:00
 -1.7126, 2.73781,    8.826, 19 Mar 2026, 11:40:00
 -1.6543, 2.74044,    8.836, 19 Mar 2026, 12:00:00
 -1.6795, 2.73934,    8.836, 19 Mar 2026, 12:20:00
 -1.6792, 2.73900,    8.836, 19 Mar 2026, 12:40:00
 -1.6773, 2.73904,    8.847, 19 Mar 2026, 13:00:01
 -1.6529, 2.73973,    8.836, 19 Mar 2026, 13:20:01
 -1.6708, 2.73900,    8.847, 19 Mar 2026, 13:40:01
 -1.6176, 2.74111,    8.847, 19 Mar 2026, 14:00:01
 -1.5988, 2.74320,    8.847, 19 Mar 2026, 14:20:01
 -1.6058, 2.74330,    8.847, 19 Mar 2026, 14:40:01
 -1.6434, 2.73984,    8.847, 19 Mar 2026, 15:00:00
 -1.6709, 2.73930,    8.847, 19 Mar 2026, 15:20:00
 -1.6591, 2.73917,    8.847, 19 Mar 2026, 15:40:00
 -1.6734, 2.73928,    8.847, 19 Mar 2026, 16:00:00
 -1.6372, 2.74053,    8.847, 19 Mar 2026, 16:20:00
 -1.6437, 2.73933,    8.847, 19 Mar 2026, 16:40:00
 -1.6341, 2.73958,    8.847, 19 Mar 2026, 17:00:00
 -1.6318, 2.74039,    8.847, 19 Mar 2026, 17:20:00
 -1.6540, 2.73974,    8.847, 19 Mar 2026, 17:40:00
 -1.6412, 2.73920,    8.847, 19 Mar 2026, 18:00:00
 -1.6431, 2.74023,    8.847, 19 Mar 2026, 18:20:00
 -1.6768, 2.73904,    8.847, 19 Mar 2026, 18:40:00
 -1.6598, 2.73953,    8.847, 19 Mar 2026, 19:00:00
 -1.6647, 2.73923,    8.847, 19 Mar 2026, 19:20:00
 -1.6639, 2.73930,    8.847, 19 Mar 2026, 19:40:00
 -1.6613, 2.73960,    8.847, 19 Mar 2026, 20:00:00
 -1.6510, 2.74003,    8.847, 19 Mar 2026, 20:20:00
 -1.6676, 2.73881,    8.847, 19 Mar 2026, 20:40:00
 -1.6653, 2.73868,    8.847, 19 Mar 2026, 21:00:00
 -1.6943, 2.73779,    8.847, 19 Mar 2026, 21:20:00
 -1.6867, 2.73768,    8.847, 19 Mar 2026, 21:40:00
 -1.6848, 2.73948,    8.847, 19 Mar 2026, 22:00:00
 -1.7154, 2.73769,    8.847, 19 Mar 2026, 22:20:00
 -1.7247, 2.73585,    8.847, 19 Mar 2026, 22:40:00
